Architecture,Domain,Difficulty,Run_ID,Passed,Runtime_Seconds,Critic_Iterations,SubTasks_Generated
Level 1 (Single-Agent),Domain 1: Sequential,Easy,1,False,8.81,0,0
Level 1 (Single-Agent),Domain 1: Sequential,Easy,2,False,8.35,0,0
Level 1 (Single-Agent),Domain 1: Sequential,Easy,3,False,8.44,0,0
Level 1 (Single-Agent),Domain 1: Sequential,Hard,1,False,8.88,0,0
Level 1 (Single-Agent),Domain 1: Sequential,Hard,2,False,8.54,0,0
Level 1 (Single-Agent),Domain 1: Sequential,Hard,3,False,8.9,0,0
Level 1 (Single-Agent),Domain 2: Modular,Easy,1,True,8.93,0,0
Level 1 (Single-Agent),Domain 2: Modular,Easy,2,True,9.1,0,0
Level 1 (Single-Agent),Domain 2: Modular,Easy,3,True,8.66,0,0
Level 1 (Single-Agent),Domain 2: Modular,Hard,1,True,8.94,0,0
Level 1 (Single-Agent),Domain 2: Modular,Hard,2,True,5.09,0,0
Level 1 (Single-Agent),Domain 2: Modular,Hard,3,True,4.53,0,0
Level 2 (Multi-Agent),Domain 1: Sequential,Easy,1,False,13.97,0,5
Level 2 (Multi-Agent),Domain 1: Sequential,Easy,2,False,35.48,0,5
Level 2 (Multi-Agent),Domain 1: Sequential,Easy,3,False,15.16,0,1
Level 2 (Multi-Agent),Domain 1: Sequential,Hard,1,False,21.7,0,4
Level 2 (Multi-Agent),Domain 1: Sequential,Hard,2,False,30.69,0,5
Level 2 (Multi-Agent),Domain 1: Sequential,Hard,3,False,27.29,0,4
Level 2 (Multi-Agent),Domain 2: Modular,Easy,1,True,22.62,0,4
Level 2 (Multi-Agent),Domain 2: Modular,Easy,2,True,21.34,0,4
Level 2 (Multi-Agent),Domain 2: Modular,Easy,3,True,21.2,0,4
Level 2 (Multi-Agent),Domain 2: Modular,Hard,1,False,31.74,0,5
Level 2 (Multi-Agent),Domain 2: Modular,Hard,2,False,34.95,0,5
Level 2 (Multi-Agent),Domain 2: Modular,Hard,3,False,35.75,0,5
Level 3 (Adaptive Multi-Agent),Domain 1: Sequential,Easy,1,False,108.08,3,5
Level 3 (Adaptive Multi-Agent),Domain 1: Sequential,Easy,2,False,107.08,3,5
Level 3 (Adaptive Multi-Agent),Domain 1: Sequential,Easy,3,False,95.03,3,5
Level 3 (Adaptive Multi-Agent),Domain 1: Sequential,Hard,1,False,85.2,3,4
Level 3 (Adaptive Multi-Agent),Domain 1: Sequential,Hard,2,False,50.81,3,3
Level 3 (Adaptive Multi-Agent),Domain 1: Sequential,Hard,3,False,88.33,3,4
Level 3 (Adaptive Multi-Agent),Domain 2: Modular,Easy,1,True,25.65,0,4
Level 3 (Adaptive Multi-Agent),Domain 2: Modular,Easy,2,True,23.9,0,4
Level 3 (Adaptive Multi-Agent),Domain 2: Modular,Easy,3,True,20.54,0,4
Level 3 (Adaptive Multi-Agent),Domain 2: Modular,Hard,1,True,56.88,1,5
Level 3 (Adaptive Multi-Agent),Domain 2: Modular,Hard,2,False,111.05,3,5
Level 1 (Single-Agent),Domain 1: Sequential,Easy,1,False,9.61,0,0
Level 1 (Single-Agent),Domain 1: Sequential,Easy,1,False,9.31,0,0
Level 1 (Single-Agent),Domain 1: Sequential,Easy,2,False,10.19,0,0
Level 1 (Single-Agent),Domain 1: Sequential,Easy,3,True,9.21,0,0
Level 1 (Single-Agent),Domain 1: Sequential,Hard,1,False,9.19,0,0
Level 1 (Single-Agent),Domain 1: Sequential,Hard,2,False,9.02,0,0
Level 1 (Single-Agent),Domain 1: Sequential,Hard,3,False,9.6,0,0
Level 1 (Single-Agent),Domain 2: Modular,Easy,1,True,9.92,0,0
Level 1 (Single-Agent),Domain 2: Modular,Easy,2,True,6.46,0,0
Level 1 (Single-Agent),Domain 2: Modular,Easy,3,True,4.25,0,0
Level 1 (Single-Agent),Domain 2: Modular,Hard,1,True,4.82,0,0
Level 1 (Single-Agent),Domain 2: Modular,Hard,2,True,4.63,0,0
Level 1 (Single-Agent),Domain 2: Modular,Hard,3,True,8.17,0,0
Level 2 (Multi-Agent),Domain 1: Sequential,Easy,1,False,45.03,0,5
Level 2 (Multi-Agent),Domain 1: Sequential,Easy,2,False,34.15,0,5
Level 2 (Multi-Agent),Domain 1: Sequential,Easy,3,False,31.67,0,5
Level 2 (Multi-Agent),Domain 1: Sequential,Hard,1,False,49.44,0,4
Level 1 (Single-Agent),Domain 1: Sequential,Easy,1,False,9.13,0,0
Level 1 (Single-Agent),Domain 1: Sequential,Easy,2,False,8.41,0,0
Level 1 (Single-Agent),Domain 1: Sequential,Easy,3,False,9.69,0,0
Level 1 (Single-Agent),Domain 1: Sequential,Hard,1,False,9.0,0,0
Level 1 (Single-Agent),Domain 1: Sequential,Hard,2,False,9.24,0,0
Level 1 (Single-Agent),Domain 1: Sequential,Hard,3,False,9.38,0,0
Level 1 (Single-Agent),Domain 2: Modular,Easy,1,True,9.71,0,0
Level 1 (Single-Agent),Domain 2: Modular,Easy,2,True,9.73,0,0
Level 1 (Single-Agent),Domain 2: Modular,Easy,3,True,9.27,0,0
Level 1 (Single-Agent),Domain 2: Modular,Hard,1,True,8.87,0,0
Level 1 (Single-Agent),Domain 2: Modular,Hard,2,True,4.71,0,0
Level 1 (Single-Agent),Domain 2: Modular,Hard,3,True,4.65,0,0
Level 2 (Multi-Agent),Domain 1: Sequential,Easy,1,False,39.15,0,5
Level 2 (Multi-Agent),Domain 1: Sequential,Easy,2,False,42.42,0,5
Level 2 (Multi-Agent),Domain 1: Sequential,Easy,3,False,38.15,0,5
Level 2 (Multi-Agent),Domain 1: Sequential,Hard,1,False,26.14,0,4
